zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Male.1,Bachelor's degree > 25,Public transportation
15640,Zip,PA,Washington,Pittsburgh,Washington County,72079.83333,27469,35.5,38,0.100737101,0.031847134
15641,Zip,PA,Hyde Park,Pittsburgh,Westmoreland County,81617.16667,27200,42,49.5,0.1125,0
15642,Zip,PA,North Huntingdon Township,Pittsburgh,Westmoreland County,223471.6667,36731,44.2,47,0.239397408,0.021463543
15644,Zip,PA,Jeannette,Pittsburgh,Westmoreland County,157021.5,32466,43.8,47.7,0.184290243,0.010005322
15646,Zip,PA,Donegal Township,Pittsburgh,Westmoreland County,143106.8333,22926,50.9,49.3,0.086206897,0
15647,Zip,PA,North Huntingdon Township,Pittsburgh,Westmoreland County,86570.41667,42254,62.5,54.6,0.295918367,0.14084507
15650,Zip,PA,Unity Township,Pittsburgh,Westmoreland County,148519.8333,31677,42.3,47.6,0.16375569,0.002136263
15655,Zip,PA,Ligonier Township,Pittsburgh,Westmoreland County,143355,37191,44.3,60.9,0.152727273,0
15656,Zip,PA,Allegheny Township,Pittsburgh,Westmoreland County,99484.08333,29404,44.6,46.3,0.157559322,0.001602564
15658,Zip,PA,Ligonier Township,Pittsburgh,Westmoreland County,161001.8333,37900,53.5,53.8,0.199455509,0
15661,Zip,PA,Mcchesneytown-Loyalhanna,Pittsburgh,Westmoreland County,117676.5,22450,33.1,36,0.048710602,0
15663,Zip,PA,Madison,Pittsburgh,Westmoreland County,122873.5,26832,61.8,53.5,0.03601108,0
15665,Zip,PA,Manor,Pittsburgh,Westmoreland County,148353.0833,22388,27.9,28.9,0.082462253,0
15666,Zip,PA,Mt Pleasant Township,Pittsburgh,Westmoreland County,142505.5,27216,44.8,49.8,0.168650628,0.002271209
15668,Zip,PA,Murrysville,Pittsburgh,Westmoreland County,278057.6667,50616,50.9,50.6,0.305412371,0.028416779
15670,Zip,PA,Salem Township,Pittsburgh,Westmoreland County,148086.1667,31314,55.1,55.7,0.097516435,0
15671,Zip,PA,Derry Township,Pittsburgh,Westmoreland County,126725.25,27542,39.8,38.8,0.187145558,0
15672,Zip,PA,New Stanton,Pittsburgh,Westmoreland County,185500.5833,32871,44.7,43.9,0.191449111,0
15673,Zip,PA,North Apollo,Pittsburgh,Armstrong County,88445.5,28698,47.1,50.2,0.12398374,0
15675,Zip,PA,Penn Township,Pittsburgh,Westmoreland County,110093.1667,18726,25.7,35.4,0.077854671,0
15676,Zip,PA,Unity Township,Pittsburgh,Westmoreland County,230267.0833,25980,54.5,49.2,0.151736746,0
15677,Zip,PA,Ligonier Township,Pittsburgh,Westmoreland County,141005.9167,26816,56.4,51.8,0.210526316,0
15678,Zip,PA,Irwin,Pittsburgh,Westmoreland County,141096.6667,24413,50.7,37.6,0.12345679,0
15679,Zip,PA,South Huntingdon Township,Pittsburgh,Westmoreland County,152289.9167,29866,46.7,49.7,0.103263517,0
15680,Zip,PA,Bell Township,Pittsburgh,Westmoreland County,74523.41667,22606,45.1,65.4,0.068965517,0
15681,Zip,PA,Loyalhanna Township,Pittsburgh,Westmoreland County,102554.0833,28294,45.6,48.3,0.09724326,0.004564126
15683,Zip,PA,Scottdale,Pittsburgh,Westmoreland County,129203.25,28975,45.3,50.2,0.165648337,0.005081573
15684,Zip,PA,Slickville,Pittsburgh,Westmoreland County,89278.16667,26522,61.4,54.6,0.03812825,0
15686,Zip,PA,Kiskiminetas Township,Pittsburgh,Armstrong County,151610.3333,28837,43.5,50,0.115384615,0
15687,Zip,PA,Donegal Township,Pittsburgh,Westmoreland County,151361.5,27190,44.7,51,0.077669903,0.013059701
15688,Zip,PA,East Huntingdon Township,Pittsburgh,Westmoreland County,114454.3333,27424,46.2,48.7,0.090470446,0
15690,Zip,PA,Vandergrift,Pittsburgh,Westmoreland County,88978.75,23751,38.5,46,0.074565037,0.002051282
15692,Zip,PA,North Huntingdon Township,Pittsburgh,Westmoreland County,117145.75,24343,48.3,46.8,0.085489314,0.053422371
15693,Zip,PA,Unity Township,Pittsburgh,Westmoreland County,119827.4,25615,40.8,59.3,0,0
15695,Zip,PA,South Huntingdon Township,Pittsburgh,Westmoreland County,110626.0833,24804,44.2,43,0,0
15696,Zip,PA,Youngstown,Pittsburgh,Westmoreland County,96666.08333,31660,26.3,50,0.14893617,0
15697,Zip,PA,Youngwood,Pittsburgh,Westmoreland County,112216,30728,41.9,44.7,0.115908024,0
15698,Zip,PA,South Huntingdon Township,Pittsburgh,Westmoreland County,99667.83333,28617,59.4,64.5,0.116666667,0
15701,Zip,PA,White Township,Indiana,Indiana County,152125.5,26108,29.6,33.8,0.193434996,0.01777218
15710,Zip,PA,Heilwood,Indiana,Indiana County,47784.25,25208,40.5,43.8,0.136363636,0.009708738
15711,Zip,PA,Mccalmont Township,,Jefferson County,50029.75,25748,46.5,39.3,0.063545151,0
15712,Zip,PA,Montgomery Township,Indiana,Indiana County,33623.41667,25011,44.8,24.1,0.022900763,0
15713,Zip,PA,Center Township,Indiana,Indiana County,49893.41667,13465,20,21.8,0.265822785,0
15714,Zip,PA,Northern Cambria,Johnstown,Cambria County,101102.5833,21837,42.5,43.1,0.086180829,0
15715,Zip,PA,Big Run,,Jefferson County,54051.91667,23394,40.2,47.5,0.095975232,0
15716,Zip,PA,Burrell Township,Indiana,Indiana County,67359.75,21078,36.7,51.7,0.036418816,0
15717,Zip,PA,Blairsville,Indiana,Indiana County,107558.25,28012,47.1,47.1,0.101137454,0.003225113
15722,Zip,PA,Carrolltown,Johnstown,Cambria County,53720.91667,24944,44.6,47.6,0.108748481,0.009883199
15723,Zip,PA,Rayne Township,Indiana,Indiana County,73709.58333,,-666666666,-666666666,0,
15724,Zip,PA,Montgomery Township,Indiana,Indiana County,100174.0833,23875,47.7,48.3,0.06102719,0
15725,Zip,PA,Conemaugh Township,Indiana,Indiana County,140081,25722,46.5,43.9,0.12455516,0
15727,Zip,PA,Jacksonville,Indiana,Indiana County,32488.5,20053,35.7,29.7,0.269565217,0
15728,Zip,PA,Clymer,Indiana,Indiana County,82013.66667,23129,41.3,39.7,0.11550152,0
15729,Zip,PA,Green Township,Indiana,Indiana County,92758.41667,22499,44.5,39.5,0.121338912,0
15730,Zip,PA,Oliver Township,,Jefferson County,83871.75,9881,24.5,26.5,0,0
15731,Zip,PA,Center Township,Indiana,Indiana County,59300,26022,73,71.2,0.113475177,0
15732,Zip,PA,Washington Township,Indiana,Indiana County,121786.9167,27584,45.3,46.2,0.068837209,0.003703704
15733,Zip,PA,Young Township,,Jefferson County,25374,14943,35.9,44.8,0.046296296,0
15734,Zip,PA,Dicksonville,Indiana,Indiana County,45940.08333,17972,29.9,29.4,0.160714286,0
15736,Zip,PA,Elderton,Pittsburgh,Armstrong County,101697.9167,25348,37.8,41.8,0.079416532,0
15739,Zip,PA,Ernest,Indiana,Indiana County,58830.91667,21928,32.9,33.8,0.196480938,0
15741,Zip,PA,Montgomery Township,Indiana,Indiana County,59262.83333,26860,56.3,60,0.06122449,0
