zipcode,Income per capita,Median Age Male,Median Age Male,Bachelor's degree > 25,Median Home Value,Public transportation
02043,73963,43.4,47.6,0.362625,742300,0.194444444
02045,52000,50.1,54.2,0.277724893,393700,0.119643469
02047,30982,65.7,45.5,0,-666666666,0
02048,48743,38.9,40,0.309625239,394200,0.091536879
02050,43855,45.1,44.5,0.287767398,442900,0.041736481
02052,67029,41.3,42.4,0.34378921,646400,0.093124895
02053,53330,41.4,43.4,0.360349267,400700,0.041705406
02054,47497,44,45.2,0.344608516,398100,0.040505736
02056,47853,42,44.5,0.327842457,484900,0.104820964
02061,61522,42,42.7,0.398424769,615700,0.091239549
02062,45020,38.5,42,0.309421441,420300,0.105160845
02066,60371,47.4,48.3,0.337203003,566500,0.101874932
02067,66261,43.1,42.9,0.306552707,538700,0.185844459
02071,24449,39.4,45.4,0.164157706,406600,0.101694915
02072,37006,40.5,46.6,0.23654105,333700,0.078168512
02081,51652,39.6,45.8,0.342604587,471500,0.09842437
02090,71327,44.7,45.1,0.361222026,703000,0.172614327
02093,50810,41,43.9,0.339536069,434900,0.074134553
02108,99533,37.2,33.6,0.380618425,1195400,0.268846503
02109,108280,31.8,35.1,0.400640093,852900,0.180902648
02110,154315,57.2,48.5,0.282535075,1059200,0.128282071
02111,52233,32.8,33.6,0.23994227,848800,0.245748766
02113,72526,30.8,28.7,0.527246423,589900,0.246984882
02114,80949,33,33.2,0.371654663,693200,0.211963294
02115,25763,21.9,21.9,0.309834176,682200,0.292139936
02116,106606,36.5,35.6,0.337963992,1090500,0.229808733
02118,65635,34.4,33.5,0.255489865,804700,0.279010649
02119,22636,29.4,36.3,0.173769227,392600,0.417129327
02120,19313,23.3,26.5,0.21018931,444600,0.373655088
02121,19430,28.7,34.9,0.108275788,455900,0.431838384
02122,28906,35.2,33.9,0.183760684,443900,0.351846315
02124,27545,32.8,34.9,0.168130489,385200,0.365548115
02125,31525,30.3,33.9,0.234634712,408900,0.367375967
02126,25865,34.6,38.6,0.105455253,349700,0.335109831
02127,58978,31.3,31.6,0.418422293,591000,0.369947534
02128,28154,33.5,33.2,0.167197984,401300,0.55724186
02129,71606,34.3,35.9,0.353254196,686700,0.265971317
02130,49466,35,34.9,0.2877016,515100,0.418170826
02131,37554,36,39.6,0.232575322,443700,0.269606766
02132,48843,43.8,45.8,0.267956812,491300,0.170535479
02134,35551,27.2,26.9,0.363601881,486200,0.387473803
02135,41417,29.7,30.1,0.397050583,475500,0.337251737
02136,30178,36.1,40,0.186282185,381900,0.253282434
02138,55695,28.2,28.9,0.290447243,823400,0.213556129
02139,50114,29.3,30,0.308420129,674600,0.303664921
02140,59174,33.4,34.5,0.255411255,753100,0.411075277
02141,50469,30.7,33.5,0.266749144,637600,0.291956189
02142,84892,32.5,30.1,0.294262295,932400,0.23621649
02143,49679,30.9,30.9,0.367315326,626000,0.292599883
02144,57270,30.6,31.4,0.38373311,675700,0.43131913
02145,38727,33.2,34.1,0.257467779,541700,0.32301632
02148,31052,34.6,36.2,0.215140805,381500,0.310782241
