,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
7862,27974,151816.25,26176.0,54.8,40.4,0.10195227800000001,0.0,0
7863,27976,229459.3333,26412.0,35.4,40.2,0.117519827,0.0,0
7864,27978,168484.8333,30196.0,50.7,50.9,0.23870967699999998,0.0,0
7865,27979,102240.4167,28363.0,46.0,52.6,0.0768,0.0,0
7866,27980,120986.9167,26473.0,56.3,55.4,0.116678597,0.0,0
7867,27981,206254.0833,24345.0,35.2,42.1,0.163786008,0.006521739,0
7868,27982,324076.0,73689.0,55.4,-666666666.0,0.240740741,0.0,2
7869,27983,70033.91667,19739.0,39.7,51.9,0.089011664,0.015549413,0
7870,27986,105995.1667,10337.0,41.7,44.9,0.074411135,0.014388488999999999,0
7871,28001,122990.8333,23645.0,40.5,42.5,0.107392444,0.004640371,0
7872,28006,183408.0,23670.0,46.4,46.3,0.082089552,0.0,0
7873,28007,44189.0,18126.0,47.4,52.7,0.057491289,0.0,0
7874,28009,65244.25,20883.0,37.6,48.6,0.141083521,0.007393715,0
7875,28012,217548.25,33454.0,37.3,42.2,0.23296182399999998,0.0008277380000000001,0
7876,28016,118208.75,22699.0,39.9,37.9,0.073207114,0.003097103,0
7877,28017,121901.1667,1187.0,20.7,19.7,0.0,0.0,0
7878,28018,118879.9167,21775.0,45.2,50.2,0.096449704,0.0,0
7879,28021,127133.0833,23475.0,39.1,44.6,0.11952564199999999,0.0,0
7880,28023,153133.0833,29316.0,38.0,43.5,0.129884325,0.006069364,0
7881,28025,190293.1667,26878.0,35.6,39.9,0.17578921600000005,0.005246794,0
7882,28027,239336.6667,33807.0,37.3,38.7,0.23338529100000002,0.009558419,0
7883,28031,295738.1667,52608.0,39.6,43.1,0.36192626,0.008314700999999999,0
7884,28032,159481.3333,29792.0,36.4,44.2,0.184724689,0.0,0
7885,28033,153320.9167,21172.0,37.6,41.5,0.09767642,0.010982306,0
7886,28034,144483.5,22016.0,40.8,41.7,0.09306539300000001,0.0008161039999999999,0
7887,28036,367407.1667,53512.0,38.2,36.4,0.368079384,0.007033019000000001,0
7888,28037,330138.5,43006.0,43.8,46.2,0.251328519,0.0,0
7889,28040,93700.25,21357.0,44.7,45.6,0.104137199,0.001108647,0
7890,28043,91576.33333,20198.0,39.4,44.2,0.09451704300000001,0.005721128000000001,0
7891,28052,102777.4167,18814.0,34.5,36.1,0.09189805699999999,0.011456514,0
