,zipcode,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation,clusters
2313,10036,964512.5833,80259.0,38.5,34.4,0.406383072,0.477728285,4
2314,10037,545281.0833,30750.0,30.9,38.9,0.21255074699999998,0.702718538,4
2315,10040,546104.3333,25371.0,33.9,39.8,0.199385466,0.711395048,4
2316,10044,975805.1667,52767.0,45.1,40.6,0.247736366,0.828850856,4
2317,10065,1240912.0,129810.0,37.8,41.5,0.38581376700000003,0.428728137,4
2318,10069,1953860.833,113446.0,35.9,36.7,0.37408709799999995,0.613541667,4
2319,10075,876209.5,120658.0,43.3,45.9,0.38684799200000003,0.542779029,4
2320,10128,1143808.6670000001,103677.0,41.6,38.1,0.37710833299999996,0.650621559,4
2321,10280,932750.25,110785.0,38.2,38.0,0.440083799,0.480085936,4
2322,10282,2149219.917,133043.0,34.1,36.0,0.453543307,0.461101243,4
2323,10301,557560.6667,31347.0,36.5,39.8,0.19888863199999998,0.421747905,4
2326,10304,540740.3333,31436.0,35.0,40.5,0.18206138600000002,0.396835095,4
2327,10305,545957.1667,31731.0,39.1,39.7,0.210731285,0.356134399,4
2328,10306,564353.0,36961.0,42.6,45.2,0.17297548899999998,0.277669271,4
2329,10307,620317.4167,39923.0,40.3,39.4,0.23200236,0.19547262199999998,4
2330,10308,543893.1667,38608.0,40.0,45.2,0.218728388,0.26133196399999997,4
2331,10309,590424.5833,41982.0,37.6,43.1,0.21791222300000002,0.238083212,4
2332,10310,524472.6667,32884.0,38.2,39.1,0.191999487,0.31774751,4
