,zipcode,RegionType,StateName,City,Metro,CountyName,AVERAGE  PRICE,Income per capita,Median Age Male,Median Age Female,Bachelor's degree > 25,Public transportation
133,1370,Zip,MA,Shelburne,Greenfield Town,Franklin County,260931.5,38985.0,48.5,54.4,0.25863708399999996,0.0
134,1373,Zip,MA,South Deerfield,Greenfield Town,Franklin County,283669.4167,43746.0,48.3,49.7,0.219622216,0.020491803
135,1375,Zip,MA,Sunderland,Greenfield Town,Franklin County,313934.0,37502.0,27.9,35.1,0.177087379,0.17000426100000002
136,1376,Zip,MA,Turners Falls,Greenfield Town,Franklin County,194540.3333,27775.0,44.7,45.0,0.153846154,0.0126369
137,1378,Zip,MA,Warwick,Greenfield Town,Franklin County,195920.1667,30362.0,54.8,55.2,0.228333333,0.0
138,1379,Zip,MA,Wendell,Greenfield Town,Franklin County,199664.0,32988.0,50.3,52.6,0.28143712600000004,0.018229167
139,1420,Zip,MA,Fitchburg,Worcester,Worcester County,212747.75,26190.0,35.2,37.0,0.141377741,0.022989119
140,1430,Zip,MA,Ashburnham,Worcester,Worcester County,269312.5,37771.0,37.9,40.9,0.275862069,0.012474616000000001
141,1431,Zip,MA,Ashby,Boston-Cambridge-Newton,Middlesex County,276002.1667,37829.0,45.4,47.7,0.175866496,0.009976526
142,1432,Zip,MA,Ayer,Boston-Cambridge-Newton,Middlesex County,351473.1667,46314.0,38.7,39.7,0.26355369,0.027910852000000003
143,1434,Zip,MA,Devens,Worcester,Worcester County,358382.1667,19659.0,45.1,34.5,0.18031746,0.027237354
144,1436,Zip,MA,Baldwinville,Worcester,Worcester County,237699.0833,31615.0,38.9,42.3,0.169026953,0.0
145,1440,Zip,MA,Gardner,Worcester,Worcester County,201154.9167,27491.0,40.6,41.6,0.121749729,0.010981042
146,1450,Zip,MA,Groton,Boston-Cambridge-Newton,Middlesex County,483576.75,54498.0,45.6,43.8,0.39639175299999996,0.040274357999999996
147,1451,Zip,MA,Harvard,Worcester,Worcester County,634110.1667,68615.0,46.5,46.1,0.362543499,0.07078507099999999
148,1452,Zip,MA,Hubbardston,Worcester,Worcester County,273428.5833,39958.0,46.6,47.1,0.194503817,0.00644672
149,1453,Zip,MA,Leominster,Worcester,Worcester County,265002.9167,32012.0,39.8,40.8,0.199596567,0.013167311000000001
150,1460,Zip,MA,Littleton,Boston-Cambridge-Newton,Middlesex County,480400.6667,52392.0,40.1,45.8,0.287073864,0.037058709
151,1462,Zip,MA,Lunenburg,Worcester,Worcester County,320565.8333,43112.0,45.2,44.5,0.196768537,0.011921216
152,1463,Zip,MA,Pepperell,Boston-Cambridge-Newton,Middlesex County,361216.0,43882.0,41.3,44.7,0.254766444,0.012320649
153,1464,Zip,MA,Shirley,Boston-Cambridge-Newton,Middlesex County,337076.4167,32353.0,42.2,49.3,0.18550821899999997,0.051602564000000004
154,1468,Zip,MA,Templeton,Worcester,Worcester County,226306.0,39850.0,44.6,43.9,0.20767494399999997,0.0
155,1469,Zip,MA,Townsend,Boston-Cambridge-Newton,Middlesex County,294974.4167,37414.0,37.4,38.6,0.225423399,0.013732834
156,1473,Zip,MA,Westminster,Worcester,Worcester County,298955.75,42700.0,42.8,46.0,0.256972112,0.034869544
157,1474,Zip,MA,Townsend,Boston-Cambridge-Newton,Middlesex County,301474.3333,52482.0,50.2,46.9,0.208955224,0.0
158,1475,Zip,MA,Winchendon,Worcester,Worcester County,215618.3333,31098.0,35.4,42.2,0.123441734,0.005833481
159,1501,Zip,MA,Auburn,Worcester,Worcester County,276759.5,41138.0,45.3,47.3,0.25466547100000003,0.006081871
160,1503,Zip,MA,Berlin,Worcester,Worcester County,415524.5,48666.0,44.2,50.2,0.289299868,0.013414634
161,1504,Zip,MA,Blackstone,Worcester,Worcester County,298267.75,37798.0,40.6,42.4,0.22056045300000002,0.005997819000000001
162,1505,Zip,MA,Boylston,Worcester,Worcester County,381929.0,46857.0,42.3,46.3,0.348778961,0.006740682
163,1506,Zip,MA,Brookfield,Worcester,Worcester County,253226.8333,39360.0,41.0,45.5,0.209069946,0.001119194
164,1507,Zip,MA,Charlton,Worcester,Worcester County,312598.0,41064.0,43.7,41.4,0.240008759,0.0023041470000000003
165,1510,Zip,MA,Clinton,Worcester,Worcester County,279452.1667,34020.0,37.3,40.0,0.25566076600000004,0.004256966
166,1515,Zip,MA,East Brookfield,Worcester,Worcester County,265207.8333,34737.0,39.5,42.5,0.21651495399999998,0.0042052140000000005
167,1516,Zip,MA,Douglas,Worcester,Worcester County,331516.4167,37792.0,41.5,42.6,0.26224632600000003,0.005233494
168,1518,Zip,MA,Fiskdale,Worcester,Worcester County,313518.0,37429.0,38.4,38.1,0.26942212,0.0
169,1519,Zip,MA,Grafton,Worcester,Worcester County,401320.8333,47808.0,43.8,43.2,0.305636138,0.033232628
170,1520,Zip,MA,Holden,Worcester,Worcester County,332782.0,45766.0,40.2,45.0,0.30813793100000003,0.004899032
171,1521,Zip,MA,Holland,Springfield,Hampden County,218455.8333,36563.0,43.6,45.8,0.173289183,0.0
172,1522,Zip,MA,Holden,Worcester,Worcester County,312667.1667,47005.0,37.2,41.9,0.300569801,0.0
173,1523,Zip,MA,Lancaster,Worcester,Worcester County,352710.5833,35596.0,34.9,47.0,0.24167739600000002,0.016618911
174,1524,Zip,MA,Leicester,Worcester,Worcester County,256000.6667,34491.0,43.0,45.2,0.172805725,0.002307692
175,1525,Zip,MS,Bay Springs,Laurel,Jasper County,193645.3636,21424.0,27.9,24.6,0.15178571400000002,0.0
176,1527,Zip,MA,Millbury,Worcester,Worcester County,304158.5,41066.0,41.4,44.2,0.19260497199999999,0.007004532
177,1529,Zip,MA,Millville,Worcester,Worcester County,304710.5833,38029.0,38.6,44.0,0.198391421,0.027888446
178,1531,Zip,MA,New Braintree,Worcester,Worcester County,284126.0833,38908.0,49.0,45.5,0.20043103399999998,0.004724409000000001
179,1532,Zip,MA,Northborough,Worcester,Worcester County,427570.25,56781.0,43.4,43.9,0.33093041100000004,0.011044418
180,1534,Zip,MA,Northbridge,Worcester,Worcester County,357740.25,43207.0,44.2,43.6,0.201499118,0.013441613
181,1535,Zip,MA,North Brookfield,Worcester,Worcester County,238365.0833,33347.0,45.5,38.8,0.141962422,0.016003123
182,1536,Zip,MA,Grafton,Worcester,Worcester County,347755.6667,47821.0,37.4,39.8,0.238258224,0.036677192000000004
183,1537,Zip,MA,Oxford,Worcester,Worcester County,226472.8333,33483.0,32.7,39.5,0.27266881,0.000800641
184,1540,Zip,MA,Oxford,Worcester,Worcester County,254504.9167,32791.0,40.8,39.6,0.19210956199999998,0.00837576
185,1541,Zip,MA,Princeton,Worcester,Worcester County,382376.8333,61008.0,46.5,50.1,0.303852201,0.005197505
186,1542,Zip,MA,Leicester,Worcester,Worcester County,270221.9167,39537.0,40.4,43.8,0.147465438,0.02553542
187,1543,Zip,MA,Rutland,Worcester,Worcester County,309123.8333,39299.0,36.8,43.4,0.29984051,0.0
188,1545,Zip,MA,Shrewsbury,Worcester,Worcester County,416767.25,47333.0,39.7,44.0,0.303431764,0.032437885
189,1550,Zip,MA,Southbridge,Worcester,Worcester County,208377.1667,26662.0,39.2,40.6,0.10878661099999999,0.002898185
190,1560,Zip,MA,Grafton,Worcester,Worcester County,369800.4167,44313.0,37.3,41.5,0.28883812,0.045272969
191,1562,Zip,MA,Spencer,Worcester,Worcester County,253992.5833,33055.0,43.4,46.9,0.145123967,0.0051805340000000005
192,1564,Zip,MA,Sterling,Worcester,Worcester County,357194.8333,48371.0,45.1,48.0,0.283786122,0.006982904
193,1566,Zip,MA,Sturbridge,Worcester,Worcester County,297500.4167,48136.0,45.8,42.5,0.282161888,0.008827684
194,1568,Zip,MA,Upton,Worcester,Worcester County,444877.75,50072.0,40.2,41.7,0.373338326,0.012964348
195,1569,Zip,MA,Uxbridge,Worcester,Worcester County,324490.1667,38532.0,39.2,43.7,0.22728705,0.001474333
196,1570,Zip,MA,Webster,Worcester,Worcester County,255009.3333,30919.0,41.2,41.5,0.17199868100000001,0.004219918
197,1571,Zip,MA,Dudley,Worcester,Worcester County,273157.8333,30831.0,34.2,39.9,0.187811113,0.005376344
198,1581,Zip,MA,Westborough,Worcester,Worcester County,462023.9167,50853.0,37.4,40.5,0.357913256,0.033446954
199,1583,Zip,MA,West Boylston,Worcester,Worcester County,306583.5,30559.0,37.0,48.7,0.18197079100000002,0.0057000359999999995
200,1585,Zip,MA,West Brookfield,Worcester,Worcester County,251929.6667,36273.0,45.8,49.3,0.21200113199999998,0.014680483999999999
201,1588,Zip,MA,Northbridge,Worcester,Worcester County,285654.1667,34008.0,36.9,39.1,0.21672828100000002,0.0
202,1590,Zip,MA,Sutton,Worcester,Worcester County,396139.6667,46409.0,42.9,45.6,0.260803408,0.004251208
203,1602,Zip,MA,Worcester,Worcester,Worcester County,252544.9167,34241.0,37.7,42.8,0.26089087699999997,0.020567205
204,1603,Zip,MA,Worcester,Worcester,Worcester County,216219.3333,23165.0,35.0,37.1,0.1132223,0.031416788
205,1604,Zip,MA,Worcester,Worcester,Worcester County,233945.5833,28104.0,33.7,35.1,0.19495395100000001,0.018574466
206,1605,Zip,MA,Worcester,Worcester,Worcester County,247226.3333,21630.0,31.0,33.2,0.161941748,0.038366862
207,1606,Zip,MA,Worcester,Worcester,Worcester County,248910.9167,34799.0,40.4,42.9,0.220121398,0.018211088
208,1607,Zip,MA,Worcester,Worcester,Worcester County,220361.75,25738.0,35.2,39.6,0.17029281899999998,0.02446184
209,1608,Zip,MA,Worcester,Worcester,Worcester County,73521.16667,16892.0,28.5,26.9,0.143901325,0.095382286
210,1609,Zip,MA,Worcester,Worcester,Worcester County,308071.6667,31983.0,30.9,36.8,0.22072176899999998,0.031298346
211,1610,Zip,MA,Worcester,Worcester,Worcester County,190193.75,17590.0,27.9,28.2,0.10496937699999999,0.06308459799999999
212,1611,Zip,MA,Leicester,Worcester,Worcester County,229456.75,37807.0,36.5,40.6,0.221940393,0.0
213,1612,Zip,MA,Paxton,Worcester,Worcester County,322041.4167,43782.0,34.8,44.5,0.286869944,0.013007488999999999
214,1701,Zip,MA,Framingham,Boston-Cambridge-Newton,Middlesex County,453007.4167,53652.0,45.6,46.9,0.33434319,0.034076993
215,1702,Zip,MA,Framingham,Boston-Cambridge-Newton,Middlesex County,353697.8333,30787.0,34.5,36.2,0.21972136899999997,0.047940075
216,1718,Zip,MA,Acton,Boston-Cambridge-Newton,Middlesex County,335439.8333,50641.0,41.4,39.5,0.480885312,0.16399999999999998
217,1719,Zip,MA,Boxboro,Boston-Cambridge-Newton,Middlesex County,480111.25,55571.0,41.3,43.7,0.297042008,0.06627071
218,1720,Zip,MA,Acton,Boston-Cambridge-Newton,Middlesex County,588626.6667,62794.0,43.1,45.2,0.306525327,0.068392347
219,1721,Zip,MA,Ashland,Boston-Cambridge-Newton,Middlesex County,417392.1667,52652.0,39.3,42.6,0.299903257,0.076614922
220,1730,Zip,MA,Bedford,Boston-Cambridge-Newton,Middlesex County,717994.1667,61653.0,43.2,42.2,0.311889837,0.02307917
